FID,the_geom,DELEGACION,MUNICIPIO,LOCALIDAD,DOM_UPP,NOM_UPP,SIST_TEC,SIST_SEMI,POLLO_ENG,HUEVO_PLA,CAP_INST,CAP_UTIL,NUM_NAVES,SUP_MT,VALIDADO,ESTATUS,PROD_LECH,ENGORDA,CICLO_COM,CAB_VIENT,CAB_LECH,CAB_CREC,CAB_FIN,CAB_SEM,TOTAL_ANIM,RAZA_PRINC,TIPO,FECHA,class
granjas_peninsula.180,POINT (-89.82931399997403 21.029496999998585),Yucatán,Hunucmá,Hunucmá,Conocido (KM. 19 carretera Mérida - Hunucma),Ana Cristina,X,,,,3000,100,8,60496,,Activo,X,0,,750,0,2250,0,0,3000,France hibrid,Granjas porcinas,2000,3
granjas_peninsula.181,POINT (-89.9771240001307 20.907242000123706),Yucatán,Kinchil,Kinchil,"Conocido (Kinchil, Yucatán)",Kinchil 2,X,,,,6000,100,3,18570,,Activo,,0,X,6000,0,0,0,0,6000,,Granjas porcinas,2000,3
granjas_peninsula.182,POINT (-90.08258299957421 20.488472000125313),Yucatán,Halacho,Halacho,"Conocido (Halacho, Yucatán)",San Martin,X,,,,200,65,1,8050,,Activo,X,0,,32,0,40,56,2,130,,Granjas porcinas,2005,3
granjas_peninsula.183,POINT (-90.0137049997725 20.594333000407467),Yucatán,Maxcanú,Maxcanú,"Conocido (carretera Maxcanu - Paraiso, Margen derecho)",Lazaro Cardenas,X,,,,800,30,2,13650,,Activo,,0,X,60,0,75,105,3,243,,Granjas porcinas,2005,3
granjas_peninsula.184,POINT (-89.98049599962532 20.905474000140774),Yucatán,Kinchil,Kinchil,Conocido (KM 3.9 Mama - Chapa),Kinchil 1,X,,,,6000,100,2,19764,,Activo,,0,X,6000,0,0,0,0,6000,,Granjas porcinas,2000,3
granjas_peninsula.185,POINT (-89.70951500021134 20.55869700023962),Yucatán,Muna,Muna,"Conocido (KM. 55 carretera a Muna, Yucatán)",Mi Rancho,X,,,,24000,67,36,375568,,Activo,,0,X,4000,0,4800,7200,0,16000,Pic,Granjas porcinas,2000,3
granjas_peninsula.186,POINT (-89.59911899974514 20.230451999799506),Yucatán,Santa Elena,Santa Elena,Conocido.,Santa Ana,X,,,,1450,100,30,185567,,Activo,X,0,,1450,0,0,0,0,1450,Pic,Granjas porcinas,2005,2
granjas_peninsula.187,POINT (-89.30236499986972 20.448154999620325),Yucatán,Chumayel,Chumayel,Conocido (KM 0.2 Chumayel - Mama),Traviesas 1.1,X,,,,4000,44,6,55367,,Activo,X,0,,1750,0,0,0,0,1750,Pic,Granjas porcinas,2000,3
granjas_peninsula.188,POINT (-89.45343899973804 20.38831400029278),Yucatán,Dzan,Dzan,Conocido (KM.2 Dzan - Mani),Santa Clara 1,X,,,,2500,96,3,29226,,Activo,X,0,,600,0,1800,0,4,2404,Hibrida,Granjas porcinas,2005,3
granjas_peninsula.189,POINT (-89.52649399968232 20.385810999624457),Yucatán,Ticul,Ticul,"Conocido (Ticul, Yucatán)",San Dimas,X,,,,600,74,4,20304,,Activo,,0,X,110,0,132,198,4,444,Hibrida,Granjas porcinas,2005,3
granjas_peninsula.190,POINT (-89.01004899971622 20.02895999981325),Yucatán,Tzucacab,Tzucacab,Conocido.,Tehelil,X,,,,3000,38,1,8750,,Activo,,0,X,120,0,400,600,6,1126,,Granjas porcinas,2005,3
